GeneID	Product_Description
PF3D7_0525100	acyl-CoA synthetase
PF3D7_0525200	structural maintenance of chromosomes protein 6, putative
PF3D7_0525300	conserved protein, unknown function
PF3D7_0525400	7-helix-1 protein
PF3D7_0525500	WD repeat-containing protein, putative
PF3D7_0525600	RNA methyltransferase, putative
PF3D7_0525700	conserved protein, unknown function
PF3D7_0525800	inner membrane complex protein 1g, putative
PF3D7_0525900	NIMA related kinase 2
PF3D7_0526000	RAP protein, putative
PF3D7_0526100	conserved Plasmodium membrane protein, unknown function
PF3D7_0526200	ADP-ribosylation factor GTPase-activating protein 2
PF3D7_0526300	WD repeat-containing protein 55, putative
PF3D7_0526400	conserved Plasmodium protein, unknown function
PF3D7_0526500	conserved Plasmodium protein, unknown function
PF3D7_0526600	conserved Plasmodium protein, unknown function
PF3D7_0526700	conserved protein, unknown function
PF3D7_0526800	conserved Plasmodium protein, unknown function
PF3D7_0526900	transmembrane emp24 domain-containing protein, putative
PF3D7_0527000	DNA replication licensing factor MCM3, putative
PF3D7_0527100	ubiquitin-conjugating enzyme E2 N, putative
PF3D7_0527200	ubiquitin carboxyl-terminal hydrolase 14
PF3D7_0527300	methionine aminopeptidase 1a, putative
PF3D7_0527400	conserved Plasmodium protein, unknown function
PF3D7_0527500	Hsc70-interacting protein
PF3D7_0527600	conserved Plasmodium protein, unknown function
PF3D7_0527700	tRNA Glutamic acid
PF3D7_0527800	tRNA Leucine
PF3D7_0527900	ATP-dependent RNA helicase DDX41, putative
PF3D7_0528000	proteasome maturation factor UMP1, putative
PF3D7_0528100	AP-1/2 complex subunit beta, putative
PF3D7_0528200	eukaryotic translation initiation factor 3 subunit E, putative
PF3D7_0528300	conserved protein, unknown function
PF3D7_0528400	palmitoyltransferase DHHC7
PF3D7_0528500	F-actin-capping protein subunit alpha, putative
PF3D7_0528600	conserved Plasmodium protein, unknown function
PF3D7_0528700	peptidyl-prolyl cis-trans isomerase
PF3D7_0528800	nucleolar preribosomal GTPase, putative
PF3D7_0528900	conserved protein, unknown function
PF3D7_0529000	conserved Plasmodium protein, unknown function
PF3D7_0529100	thioredoxin-like protein, putative
PF3D7_0529200	sugar transporter, putative
PF3D7_0529300	apicoplast TIC22 protein
PF3D7_0529400	conserved Plasmodium protein, unknown function
PF3D7_0529500	cell cycle regulator protein, putative
PF3D7_0529600	tRNA Arginine
PF3D7_0529700	heptatricopeptide repeat-containing protein, putative
PF3D7_0529800	conserved Plasmodium protein, unknown function
PF3D7_0529900	RING zinc finger protein, putative
PF3D7_0530000	conserved Plasmodium protein, unknown function
PF3D7_0530100	SNARE protein, putative
PF3D7_0530200	phosphoenolpyruvate/phosphate translocator
PF3D7_0530300	conserved Plasmodium membrane protein, unknown function
PF3D7_0530400	conserved Plasmodium protein, unknown function
PF3D7_0530500	conserved Plasmodium membrane protein, unknown function
PF3D7_0530600	XAP-5 DNA binding protein, putative
PF3D7_0530700	conserved Plasmodium protein, unknown function
PF3D7_0530750	dolichol-phosphate mannosyltransferase subunit 3, putative
PF3D7_0530800	CPW-WPC family protein
PF3D7_0530900	formin 1
PF3D7_0531000	SURF1 domain-containing protein, putative
PF3D7_0531100	conserved Plasmodium protein, unknown function
PF3D7_0531200	ribosomal protein S16, mitochondrial, putative
PF3D7_0531300	conserved Plasmodium protein, unknown function
PF3D7_0531400	conserved Plasmodium protein, unknown function
PF3D7_0531500	non-coding RNA
PF3D7_0531600	18S ribosomal RNA
PF3D7_0531700	unspecified product
PF3D7_0531800	5.8S ribosomal RNA
PF3D7_0531900	unspecified product
PF3D7_0532000	28S ribosomal RNA
PF3D7_0532100	early transcribed membrane protein 5
PF3D7_0532200	Plasmodium exported protein (PHISTc), unknown function
PF3D7_0532300	Plasmodium exported protein (PHISTb), unknown function
PF3D7_0532400	lysine-rich membrane-associated PHISTb protein
PF3D7_0532500	Plasmodium exported protein, unknown function
PF3D7_0532600	Plasmodium exported protein, unknown function
PF3D7_0532700	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0532800	stevor, pseudogene
PF3D7_0532900	rifin
PF3D7_0533000	rifin, pseudogene
PF3D7_0533100	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0600100	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0600200	erythrocyte membrane protein 1, PfEMP1
PF3D7_0600300	rifin
PF3D7_0600400	erythrocyte membrane protein 1, PfEMP1
PF3D7_0600500	rifin
PF3D7_0600600	erythrocyte membrane protein 1 (PfEMP1), exon 2
PF3D7_0600700	rifin
PF3D7_0600800	rifin, pseudogene
PF3D7_0600900	rifin, pseudogene
PF3D7_0601000	exported protein family 4
PF3D7_0601100	exported protein family 3
PF3D7_0601200	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0601300	exported protein family 1
PF3D7_0601400	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0601500	Plasmodium exported protein (PHISTb), unknown function
PF3D7_0601600	tetratricopeptide repeat protein, putative
PF3D7_0601700	Plasmodium exported protein (PHISTa), unknown function, pseudogene
PF3D7_0601800	H/ACA snoRNA
PF3D7_0601900	conserved Plasmodium protein, unknown function
PF3D7_0602000	zinc finger protein, putative
PF3D7_0602100	ATP-dependent RNA helicase MTR4
PF3D7_0602200	MYND-type zinc finger protein, putative
PF3D7_0602300	liver merozoite formation protein, putative
PF3D7_0602400	elongation factor G
PF3D7_0602500	geranylgeranyl transferase type-2 subunit beta, putative
PF3D7_0602600	SAC3 domain-containing protein, putative
PF3D7_0602700	conserved Plasmodium protein, unknown function
PF3D7_0602800	JmjC domain-containing protein, putative
PF3D7_0602900	conserved Plasmodium protein, unknown function
PF3D7_0603000	SDE2 domain-containing protein, putative
PF3D7_0603100	RNA-binding protein, putative
PF3D7_0603200	mitochondrial chaperone BCS1, putative
PF3D7_0603300	dihydroorotate dehydrogenase
PF3D7_0603400	trophozoite exported protein 1
PF3D7_0603500	cation/H+ antiporter
PF3D7_0603600	AT-rich interactive domain-containing protein, putative
PF3D7_0603700	phenylalanine--tRNA ligase
PF3D7_0603800	centrosomal protein CEP76, putative
PF3D7_0603900	conserved Plasmodium protein, unknown function
PF3D7_0604000	conserved Plasmodium protein, unknown function
PF3D7_0604100	AP2 domain transcription factor
PF3D7_0604200	ribosomal protein L41, mitochondrial, putative
PF3D7_0604300	conserved Plasmodium protein, unknown function
PF3D7_0604400	conserved protein, unknown function
PF3D7_0604500	GYF domain-containing protein, putative
PF3D7_0604600	DNA helicase, putative
PF3D7_0604700	glyoxalase I-like protein GILP
PF3D7_0604800	RAP protein, putative
PF3D7_0604900	conserved Plasmodium protein, unknown function
PF3D7_0605000	50S ribosomal protein L24, putative
PF3D7_0605100	RNA-binding protein, putative
PF3D7_0605200	acylphosphatase, putative
PF3D7_0605300	serine/threonine protein kinase ARK1
PF3D7_0605400	calcium-binding protein, putative
PF3D7_0605500	cyclin dependent kinase binding protein, putative
PF3D7_0605600	nucleoside diphosphate kinase, putative
PF3D7_0605700	conserved Plasmodium protein, unknown function
PF3D7_0605800	DNA repair protein RAD50, putative
PF3D7_0605900	elongation of fatty acids protein, putative
PF3D7_0606000	protein KIC1
PF3D7_0606100	RNA-binding protein, putative
PF3D7_0606200	ubiquitin-conjugating enzyme E2 PEX4, putative
PF3D7_0606300	conserved Plasmodium protein, unknown function
PF3D7_0606400	conserved Plasmodium protein, unknown function
PF3D7_0606500	polypyrimidine tract-binding protein, putative
PF3D7_0606600	conserved Plasmodium protein, unknown function
PF3D7_0606700	coatomer alpha subunit, putative
PF3D7_0606800	VFT protein
PF3D7_0606900	glutaredoxin-like protein
PF3D7_0607000	translation initiation factor IF-2, putative
PF3D7_0607100	MYND-type zinc finger protein, putative
PF3D7_0607200	RING zinc finger protein, putative
PF3D7_0607300	uroporphyrinogen III decarboxylase
PF3D7_0607400	G-protein associated signal transduction protein, putative
PF3D7_0607500	4-hydroxybenzoate polyprenyltransferase, putative
PF3D7_0607600	spindle assembly abnormal protein 6, putative
PF3D7_0607700	conserved Plasmodium protein, unknown function
PF3D7_0607800	GTP-binding protein, putative
PF3D7_0607900	conserved Plasmodium protein, unknown function
PF3D7_0608000	diphthine methyltransferase, putative
PF3D7_0608100	conserved Plasmodium protein, unknown function
PF3D7_0608200	conserved Plasmodium protein, unknown function
PF3D7_0608300	heptatricopeptide repeat-containing protein, putative
PF3D7_0608310	sorting assembly machinery 50 kDa subunit, putative
PF3D7_0608400	conserved Plasmodium protein, unknown function
PF3D7_0608500	proteasome subunit alpha type-2, putative
PF3D7_0608600	conserved Plasmodium protein, unknown function
PF3D7_0608700	T-complex protein 1 subunit zeta
PF3D7_0608800	ornithine aminotransferase
PF3D7_0608900	conserved Plasmodium protein, unknown function
PF3D7_0609000	nucleoporin NUP637, putative
PF3D7_0609100	zinc transporter ZIP1, putative
PF3D7_0609200	citrate synthase-like protein, putative
PF3D7_0609300	conserved Plasmodium protein, unknown function
PF3D7_0609400	mitochondrial cardiolipin synthase, putative
PF3D7_0609500	conserved Plasmodium protein, unknown function
PF3D7_0609600	conserved Plasmodium protein, unknown function
PF3D7_0609700	protein KIC6
PF3D7_0609800	palmitoyltransferase DHHC2, putative
PF3D7_0609900	conserved Plasmodium protein, unknown function
PF3D7_0610000	ribosomal protein L19, mitochondrial, putative
PF3D7_0610100	pre-mRNA-splicing factor SLU7, putative
PF3D7_0610200	RNA-binding protein 25, putative
PF3D7_0610300	non-coding RNA
PF3D7_0610400	histone H3
PF3D7_0610500	peptidyl-tRNA hydrolase PTRHD1, putative
PF3D7_0610600	calcium-dependent protein kinase 2
PF3D7_0610700	conserved Plasmodium protein, unknown function
PF3D7_0610800	transketolase
PF3D7_0610900	transcription elongation factor SPT5, putative
PF3D7_0611000	SNARE associated Golgi protein, putative
PF3D7_0611100	succinate dehydrogenase subunit 3, putative
PF3D7_0611200	AP2 domain transcription factor, putative
PF3D7_0611300	ATP synthase-associated protein, putative
PF3D7_0611400	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin
PF3D7_0611500	conserved protein, unknown function
PF3D7_0611600	basal complex transmembrane protein 1
PF3D7_0611700	60S ribosomal protein L39
PF3D7_0611800	conserved Plasmodium protein, unknown function
PF3D7_0611900	lsm12, putative
PF3D7_0612000	conserved Plasmodium protein, unknown function
PF3D7_0612100	eukaryotic translation initiation factor 3 subunit L, putative
PF3D7_0612200	leucine-rich repeat protein
PF3D7_0612300	transmembrane protein 234, putative
PF3D7_0612400	conserved Plasmodium protein, unknown function
PF3D7_0612500	conserved Plasmodium protein, unknown function
PF3D7_0612600	cytoplasmic tRNA 2-thiolation protein 1, putative
PF3D7_0612700	6-cysteine protein P12
PF3D7_0612800	6-cysteine protein
PF3D7_0612900	nucleolar GTP-binding protein 1, putative
PF3D7_0613000	conserved Plasmodium protein, unknown function
PF3D7_0613100	conserved Plasmodium protein, unknown function
PF3D7_0613200	conserved Plasmodium protein, unknown function
PF3D7_0613300	rhoptry protein ROP14
PF3D7_0613400	50S ribosomal protein L18, apicoplast, putative
PF3D7_0613500	AP-3 complex subunit beta, putative
PF3D7_0613600	conserved Plasmodium protein, unknown function
PF3D7_0613700	syntaxin-binding protein, putative
PF3D7_0613800	AP2 domain transcription factor, putative
PF3D7_0613900	myosin E, putative
PF3D7_0614000	thiamine-phosphate synthase, putative
PF3D7_0614100	filamin domain-containing protein, putative
PF3D7_0614200	cytosolic Fe-S cluster assembly factor NAR1, putative
PF3D7_0614300	major facilitator superfamily-related transporter, putative
PF3D7_0614400	pre-mRNA-splicing factor CWF7, putative
PF3D7_0614500	60S ribosomal protein L19
PF3D7_0614600	conserved Plasmodium protein, unknown function
PF3D7_0614700	F-box protein FBXO6, putative
PF3D7_0614800	endonuclease III-like protein 1, putative
PF3D7_0614900	conserved Plasmodium membrane protein, unknown function
PF3D7_0615000	conserved Plasmodium protein, unknown function
PF3D7_0615100	enoyl-acyl carrier reductase
PF3D7_0615200	conserved protein, unknown function
PF3D7_0615300	GPI-anchored wall transfer protein 1, putative
PF3D7_0615400	ribonuclease, putative
PF3D7_0615500	cdc2-related protein kinase 5
PF3D7_0615600	zinc finger protein, putative
PF3D7_0615700	THO complex subunit 4, putative
PF3D7_0615800	conserved oligomeric Golgi complex subunit 4, putative
PF3D7_0615900	protein phosphatase, putative
PF3D7_0616000	pyridoxal kinase
PF3D7_0616100	conserved Plasmodium protein, unknown function
PF3D7_0616200	kinetochore protein NDC80, putative
PF3D7_0616300	conserved Plasmodium protein, unknown function
PF3D7_0616400	conserved Plasmodium protein, unknown function
PF3D7_0616500	TRAP-like protein
PF3D7_0616600	conserved protein, unknown function
PF3D7_0616700	ras GTPAse, putative
PF3D7_0616800	malate:quinone oxidoreductase
PF3D7_0616900	conserved Plasmodium protein, unknown function
PF3D7_0617000	mitochondrial import receptor subunit TOM40, putative
PF3D7_0617100	AP-2 complex subunit alpha, putative
PF3D7_0617200	BFR1 domain-containing protein, putative
PF3D7_0617300	conserved Plasmodium protein, unknown function
PF3D7_0617400	erythrocyte membrane protein 1, PfEMP1
PF3D7_0617500	rifin, pseudogene
PF3D7_0617600	stevor
PF3D7_0617700	rifin
PF3D7_0617800	histone H2A
PF3D7_0617900	histone H3 variant
PF3D7_0618000	conserved Plasmodium membrane protein, unknown function
PF3D7_0618100	conserved Plasmodium protein, unknown function
PF3D7_0618200	conserved protein, unknown function
PF3D7_0618300	60S ribosomal protein L27a, putative
PF3D7_0618400	LMBR1 domain-containing protein, putative
PF3D7_0618500	malate dehydrogenase
PF3D7_0618600	rhomboid protease ROM10
PF3D7_0618700	trafficking protein particle complex subunit 6A, putative
PF3D7_0618800	heptatricopeptide repeat-containing protein, putative
PF3D7_0618900	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1
PF3D7_0619000	conserved protein, unknown function
PF3D7_0619100	conserved Plasmodium protein, unknown function
PF3D7_0619200	conserved Plasmodium protein, unknown function
PF3D7_0619300	conserved Plasmodium protein, unknown function
PF3D7_0619400	cell division cycle protein 48 homologue, putative
PF3D7_0619500	acyl-CoA synthetase
PF3D7_0619600	conserved Plasmodium protein, unknown function
PF3D7_0619700	F-box protein FBXO1, putative
PF3D7_0619800	conserved Plasmodium membrane protein, unknown function
PF3D7_0619900	splicing factor 3A subunit 2, putative
PF3D7_0620000	PIMMS43 protein
PF3D7_0620100	ATP synthase-associated protein, putative
PF3D7_0620200	conserved Plasmodium protein, unknown function
PF3D7_0620300	conserved Plasmodium protein, unknown function
PF3D7_0620400	merozoite surface protein 10
PF3D7_0620500	cleavage stimulation factor subunit 1, putative
PF3D7_0620600	conserved Plasmodium protein, unknown function
PF3D7_0620700	DnaJ protein, putative
PF3D7_0620800	tRNA Alanine
PF3D7_0620900	tRNA Leucine
PF3D7_0621000	conserved Plasmodium protein, unknown function
PF3D7_0621100	conserved Plasmodium protein, unknown function
PF3D7_0621200	pyridoxine biosynthesis protein PDX1
PF3D7_0621300	mRNA-binding protein PUF3
PF3D7_0621350	protein SYS1, putative
PF3D7_0621400	Pf77 protein
PF3D7_0621500	ribonuclease P/MRP protein subunit RPP1, putative
PF3D7_0621600	tRNA Serine
PF3D7_0621700	conserved Plasmodium protein, unknown function
PF3D7_0621800	nascent polypeptide-associated complex subunit alpha, putative
PF3D7_0621900	signal recognition particle subunit SRP68, putative
PF3D7_0622000	conserved Plasmodium protein, unknown function
PF3D7_0622100	conserved Plasmodium protein, unknown function
PF3D7_0622200	radical SAM protein, putative
PF3D7_0622300	vacuolar transporter chaperone, putative
PF3D7_0622400	conserved protein, unknown function
PF3D7_0622500	RNA methyltransferase, putative
PF3D7_0622600	cytochrome b-c1 complex subunit 9, putative
PF3D7_0622700	conserved Plasmodium membrane protein, unknown function
PF3D7_0622800	leucine--tRNA ligase, putative
PF3D7_0622900	AP2 domain transcription factor AP2Tel
PF3D7_0623000	chorismate synthase
PF3D7_0623100	nuclear polyadenylated RNA-binding protein NAB2, putative
PF3D7_0623200	ferredoxin--NADP reductase
PF3D7_0623300	EGF-like membrane protein, putative
PF3D7_0623400	MEI2-like RNA-binding protein, putative
PF3D7_0623500	superoxide dismutase [Fe]
PF3D7_0623600	splicing factor-like protein 1, putative
PF3D7_0623700	ATP-dependent RNA helicase SUV3, putative
PF3D7_0623800	tyrosine kinase-like protein, putative
PF3D7_0623900	ribonuclease H2 subunit A, putative
PF3D7_0624000	hexokinase
PF3D7_0624100	conserved protein, unknown function
PF3D7_0624200	SURP domain-containing protein, putative
PF3D7_0624300	CPW-WPC family protein
PF3D7_0624400	conserved protein, unknown function
PF3D7_0624500	anaphase-promoting complex subunit 11, putative
PF3D7_0624600	SNF2 helicase, putative
PF3D7_0624700	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase, putative
PF3D7_0624800	conserved Plasmodium protein, unknown function
PF3D7_0624900	GAS8-like protein, putative
PF3D7_0625000	sphingomyelin synthase 1, putative
PF3D7_0625100	sphingomyelin synthase 2, putative
PF3D7_0625200	conserved Plasmodium protein, unknown function
PF3D7_0625300	DNA polymerase 1, putative
PF3D7_0625400	conserved Plasmodium protein, unknown function
PF3D7_0625500	conserved Plasmodium membrane protein, unknown function
PF3D7_0625600	poly(A) polymerase PAP, putative
PF3D7_0625700	conserved protein, unknown function
PF3D7_0625800	conserved Plasmodium protein, unknown function
PF3D7_0625900	conserved Plasmodium protein, unknown function
PF3D7_0626000	conserved Plasmodium protein, unknown function
PF3D7_0626100	oxidoreductase, short-chain dehydrogenase family, putative
PF3D7_0626200	conserved Plasmodium protein, unknown function
PF3D7_0626300	3-oxoacyl-acyl-carrier protein synthase I/II
PF3D7_0626400	CRAL/TRIO domain-containing protein, putative
PF3D7_0626500	conserved Plasmodium protein, unknown function
PF3D7_0626600	conserved Plasmodium protein, unknown function
PF3D7_0626700	ATPase
PF3D7_0626800	pyruvate kinase
PF3D7_0626840	small nucleolar RNA snoR35
PF3D7_0626900	ribosomal protein L46, mitochondrial, putative
PF3D7_0627000	conserved Plasmodium protein, unknown function
PF3D7_0627100	ankyrin-repeat protein, putative
PF3D7_0627200	myosin light chain, putative
PF3D7_0627300	E3 ubiquitin-protein ligase RNF5, putative
PF3D7_0627400	mitochondrial import inner membrane translocase subunit TIM22, putative
PF3D7_0627500	protein DJ-1
PF3D7_0627600	conserved Plasmodium protein, unknown function
PF3D7_0627700	transportin
PF3D7_0627800	acetyl-CoA synthetase, putative
PF3D7_0627900	ribonuclease P protein subunit p29, putative
PF3D7_0628000	6-pyruvoyltetrahydropterin synthase
PF3D7_0628100	HECT-domain (ubiquitin-transferase), putative
PF3D7_0628200	eukaryotic translation initiation factor 2-alpha kinase
PF3D7_0628300	choline/ethanolaminephosphotransferase, putative
PF3D7_0628400	protease, putative
PF3D7_0628500	conserved Plasmodium protein, unknown function
PF3D7_0628600	DNA methyltransferase 1-associated protein 1, putative
PF3D7_0628700	conserved Plasmodium protein, unknown function
PF3D7_0628800	glutamyl-tRNA(Gln) amidotransferase subunit B
PF3D7_0628900	RAP protein, putative
PF3D7_0629000	glucosamine 6-phosphate N-acetyltransferase
PF3D7_0629100	nicotinate phosphoribosyltransferase, putative
PF3D7_0629200	DnaJ protein, putative
PF3D7_0629300	phospholipase, putative
PF3D7_0629400	polyadenylate-binding protein 3, putative
PF3D7_0629500	amino acid transporter AAT1
PF3D7_0629600	RNA-binding protein, putative
PF3D7_0629700	SET domain protein, putative
PF3D7_0629800	cullin-like protein, putative
PF3D7_0629900	sec14-like cytosolic factor or phosphatidylinositol/phosphatidylcholine transfer protein, putative
PF3D7_0630000	CPW-WPC family protein
PF3D7_0630100	alpha/beta hydrolase, putative
PF3D7_0630200	secreted ookinete protein, putative
PF3D7_0630300	DNA polymerase epsilon catalytic subunit A, putative
PF3D7_0630400	conserved Plasmodium protein, unknown function
PF3D7_0630500	ribosome biogenesis protein YTM1, putative
PF3D7_0630600	conserved protein, unknown function
PF3D7_0630700	bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, putative
PF3D7_0630800	TPH domain-containing protein, putative
PF3D7_0630900	ATP-dependent RNA helicase HAS1
PF3D7_0631000	tetratricopeptide repeat protein, putative
PF3D7_0631100	Plasmodium exported protein (PHISTb), unknown function
PF3D7_0631200	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0631300	exported protein family 1
PF3D7_0631400	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0631500	exported protein family 3
PF3D7_0631600	exported protein family 4
PF3D7_0631700	rifin, pseudogene
PF3D7_0631800	rifin
PF3D7_0631900	stevor
PF3D7_0632000	rifin
PF3D7_0632100	rifin
PF3D7_0632200	rifin
PF3D7_0632300	rifin
PF3D7_0632400	rifin
PF3D7_0632500	erythrocyte membrane protein 1, PfEMP1
PF3D7_0632600	rifin, pseudogene
PF3D7_0632700	rifin
PF3D7_0632800	erythrocyte membrane protein 1, PfEMP1
PF3D7_0700100	erythrocyte membrane protein 1, PfEMP1
PF3D7_0700200	rifin
PF3D7_0700300	rifin
PF3D7_0700400	stevor
PF3D7_0700500	rifin
PF3D7_0700600	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0700700	stevor, pseudogene
PF3D7_0700800	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0700900	exported protein family 1, pseudogene
PF3D7_0701000	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0701100	rifin
PF3D7_0701200	rifin, pseudogene
PF3D7_0701300	rifin, pseudogene
PF3D7_0701400	exported protein family 4, pseudogene
PF3D7_0701500	exported protein family 3
PF3D7_0701600	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0701700	exported protein family 1
PF3D7_0701800	rifin
PF3D7_0701900	Plasmodium exported protein, unknown function
PF3D7_0702000	Plasmodium exported protein (hyp12), unknown function
PF3D7_0702100	Plasmodium exported protein (PHISTb), unknown function, pseudogene
PF3D7_0702200	lysophospholipase, putative
PF3D7_0702300	sporozoite threonine and asparagine-rich protein
PF3D7_0702400	small exported membrane protein 1
PF3D7_0702500	Plasmodium exported protein, unknown function
PF3D7_0702600	chitinase, fragment
PF3D7_0702700	tRNA Alanine
PF3D7_0702800	tRNA Tyrosine
PF3D7_0702900	centrin, putative
PF3D7_0703000	conserved Plasmodium protein, unknown function
PF3D7_0703100	cytosolic iron-sulfur assembly component 2, putative
PF3D7_0703200	conserved Plasmodium protein, unknown function
PF3D7_0703300	conserved Plasmodium protein, unknown function
PF3D7_0703400	conserved Plasmodium protein, unknown function
PF3D7_0703500	erythrocyte membrane-associated antigen
PF3D7_0703600	conserved protein, unknown function
PF3D7_0703700	conserved protein, unknown function
PF3D7_0703800	conserved Plasmodium protein, unknown function
PF3D7_0703900	conserved Plasmodium membrane protein, unknown function
PF3D7_0704000	conserved Plasmodium membrane protein, unknown function
PF3D7_0704100	basal complex transmembrane protein 2
PF3D7_0704200	tRNA m5C-methyltransferase, putative
PF3D7_0704300	conserved Plasmodium membrane protein, unknown function
PF3D7_0704400	phosphoinositide-binding protein, putative
PF3D7_0704500	serine/threonine protein kinase, putative
PF3D7_0704600	HECT-type E3 ubiquitin ligase UT
PF3D7_0704700	phosphopantetheine adenylyltransferase, putative
PF3D7_0704800	protein phosphatase PPM12, putative
PF3D7_0704900	peptide chain release factor 2
PF3D7_0705000	mRNA cap guanine-N7 methyltransferase, putative
PF3D7_0705100	conserved Plasmodium protein, unknown function
PF3D7_0705200	conserved Plasmodium protein, unknown function
PF3D7_0705300	origin recognition complex subunit 2
PF3D7_0705400	DNA replication licensing factor MCM7
PF3D7_0705500	inositol-phosphate phosphatase, putative
PF3D7_0705600	RNA helicase, putative
PF3D7_0705700	40S ribosomal protein S29, putative
PF3D7_0705800	cysteine-rich secretory protein, putative
PF3D7_0705900	ATP synthase subunit C, putative
PF3D7_0706000	importin-7, putative
PF3D7_0706100	conserved Plasmodium protein, unknown function
PF3D7_0706200	conserved protein, unknown function
PF3D7_0706300	conserved Plasmodium protein, unknown function
PF3D7_0706400	60S ribosomal protein L37
PF3D7_0706500	conserved Plasmodium protein, unknown function
PF3D7_0706600	conserved Plasmodium protein, unknown function
PF3D7_0706700	DNA mismatch repair protein MSH2, putative
PF3D7_0706800	tRNA Threonine
PF3D7_0706900	tRNA Histidine
PF3D7_0707000	tRNA Lysine
PF3D7_0707100	tRNA Lysine
PF3D7_0707200	conserved Plasmodium protein, unknown function
PF3D7_0707300	rhoptry-associated membrane antigen
PF3D7_0707400	AAA family ATPase, putative
PF3D7_0707420	nucleolar RNA snoR36
PF3D7_0707500	conserved Plasmodium protein, unknown function
PF3D7_0707600	mediator of RNA polymerase II transcription subunit 10, putative
PF3D7_0707700	E3 ubiquitin-protein ligase, putative
PF3D7_0707800	RAP protein, putative
PF3D7_0707900	ribosomal protein S8e, putative
PF3D7_0708000	cytoskeleton associated protein, putative
PF3D7_0708100	DNA-directed RNA polymerases I, II, and III subunit RPABC5, putative
PF3D7_0708200	conserved Plasmodium protein, unknown function
PF3D7_0708300	EKC/KEOPS complex subunit BUD32
PF3D7_0708400	heat shock protein 90
PF3D7_0708500	heat shock protein 86 family protein
PF3D7_0708600	inner membrane complex protein 1d, putative
PF3D7_0708700	Cg8 protein
PF3D7_0708800	heat shock protein 110
PF3D7_0708900	protein SCO1, putative
PF3D7_0709000	chloroquine resistance transporter
PF3D7_0709050	small nucleolar RNA
PF3D7_0709100	Cg1 protein
PF3D7_0709200	glutaredoxin-like protein
PF3D7_0709300	Cg2 protein
PF3D7_0709400	Cg7 protein
PF3D7_0709500	nucleic acid-binding protein, putative
PF3D7_0709600	ribonucleases P/MRP protein subunit POP1, putative
PF3D7_0709700	prodrug activation and resistance esterase
PF3D7_0709800	conserved protein, unknown function
PF3D7_0709900	conserved protein, unknown function
PF3D7_0710000	conserved Plasmodium protein, unknown function
PF3D7_0710100	conserved protein, unknown function
PF3D7_0710200	conserved Plasmodium protein, unknown function
PF3D7_0710300	conserved protein, unknown function
PF3D7_0710400	DNA repair protein RAD14, putative
PF3D7_0710500	conserved protein, unknown function
PF3D7_0710600	60S ribosomal protein L34
PF3D7_0710700	conserved Plasmodium protein, unknown function
PF3D7_0710800	protein transport protein USE1, putative
PF3D7_0710900	50S ribosomal protein L1, mitochondrial, putative
PF3D7_0711000	AAA family ATPase, CDC48 subfamily
PF3D7_0711100	conserved protein, unknown function
PF3D7_0711200	conserved Plasmodium protein, unknown function
PF3D7_0711300	conserved Plasmodium protein, unknown function
PF3D7_0711400	histone deacetylase complex subunit SAP18, putative
PF3D7_0711500	regulator of chromosome condensation, putative
PF3D7_0711600	Plasmodium RNA of unknown function RUF6
PF3D7_0711700	erythrocyte membrane protein 1, PfEMP1
PF3D7_0711800	Plasmodium RNA of unknown function RUF6
PF3D7_0711900	rifin, pseudogene
PF3D7_0712000	erythrocyte membrane protein 1, PfEMP1
PF3D7_0712100	Plasmodium RNA of unknown function RUF6
PF3D7_0712200	rifin, pseudogene
PF3D7_0712300	erythrocyte membrane protein 1, PfEMP1
PF3D7_0712400	erythrocyte membrane protein 1, PfEMP1
PF3D7_0712500	rifin, pseudogene
PF3D7_0712600	erythrocyte membrane protein 1, PfEMP1
PF3D7_0712700	Plasmodium RNA of unknown function RUF6
PF3D7_0712800	erythrocyte membrane protein 1, PfEMP1
PF3D7_0712900	erythrocyte membrane protein 1, PfEMP1
PF3D7_0713000	rifin
PF3D7_0713100	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0713200	exported protein family 1
PF3D7_0713300	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0713400	GPCR-like receptor SR25
PF3D7_0713500	conserved Plasmodium protein, unknown function
PF3D7_0713600	ribosomal protein S5, mitochondrial, putative
PF3D7_0713700	conserved Plasmodium protein, unknown function
