Transcript_ID	Product_Description
PF3D7_0523300.1	cytochrome c oxidase subunit ApiCOX18, putative
PF3D7_0523400.1	DnaJ protein, putative
PF3D7_0523500.1	dynein light chain Tctex-type, putative
PF3D7_0523600.1	conserved protein, unknown function
PF3D7_0523700.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0523800.1	divalent metal transporter, putative
PF3D7_0523900.1	MerC domain-containing protein, putative
PF3D7_0524000.1	karyopherin beta
PF3D7_0524100.1	conserved Plasmodium protein, unknown function
PF3D7_0524200.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0524300.1	conserved Plasmodium protein, unknown function
PF3D7_0524400.1	ribosome-interacting GTPase 1, putative
PF3D7_0524500.1	conserved Plasmodium protein, unknown function
PF3D7_0524600.1	50S ribosomal protein L12, apicoplast, putative
PF3D7_0524700.1	mitochondrial import receptor subunit TOM22, putative
PF3D7_0524800.1	ubiquitin fusion degradation protein 1, putative
PF3D7_0524900.1	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative
PF3D7_0525000.1	zinc finger protein, putative
PF3D7_0525100.1	acyl-CoA synthetase
PF3D7_0525200.1	structural maintenance of chromosomes protein 6, putative
PF3D7_0525300.1	conserved protein, unknown function
PF3D7_0525400.1	7-helix-1 protein
PF3D7_0525500.1	WD repeat-containing protein, putative
PF3D7_0525600.1	RNA methyltransferase, putative
PF3D7_0525700.1	conserved protein, unknown function
PF3D7_0525800.1	inner membrane complex protein 1g, putative
PF3D7_0525900.1	NIMA related kinase 2
PF3D7_0526000.1	RAP protein, putative
PF3D7_0526100.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0526200.1	ADP-ribosylation factor GTPase-activating protein 2
PF3D7_0526200.2	ADP-ribosylation factor GTPase-activating protein 2
PF3D7_0526300.1	WD repeat-containing protein 55, putative
PF3D7_0526400.1	conserved Plasmodium protein, unknown function
PF3D7_0526500.1	conserved Plasmodium protein, unknown function
PF3D7_0526600.1	conserved Plasmodium protein, unknown function
PF3D7_0526700.1	conserved protein, unknown function
PF3D7_0526800.1	conserved Plasmodium protein, unknown function
PF3D7_0526900.1	transmembrane emp24 domain-containing protein, putative
PF3D7_0527000.1	DNA replication licensing factor MCM3, putative
PF3D7_0527100.1	ubiquitin-conjugating enzyme E2 N, putative
PF3D7_0527200.1	ubiquitin carboxyl-terminal hydrolase 14
PF3D7_0527300.1	methionine aminopeptidase 1a, putative
PF3D7_0527400.1	conserved Plasmodium protein, unknown function
PF3D7_0527500.1	Hsc70-interacting protein
PF3D7_0527600.1	conserved Plasmodium protein, unknown function
PF3D7_0527700.1	tRNA Glutamic acid
PF3D7_0527800.1	tRNA Leucine
PF3D7_0527900.1	ATP-dependent RNA helicase DDX41, putative
PF3D7_0528000.1	proteasome maturation factor UMP1, putative
PF3D7_0528100.1	AP-1/2 complex subunit beta, putative
PF3D7_0528200.1	eukaryotic translation initiation factor 3 subunit E, putative
PF3D7_0528300.1	conserved protein, unknown function
PF3D7_0528400.1	palmitoyltransferase DHHC7
PF3D7_0528500.1	F-actin-capping protein subunit alpha, putative
PF3D7_0528600.1	conserved Plasmodium protein, unknown function
PF3D7_0528700.1	peptidyl-prolyl cis-trans isomerase
PF3D7_0528800.1	nucleolar preribosomal GTPase, putative
PF3D7_0528900.1	conserved protein, unknown function
PF3D7_0529000.1	conserved Plasmodium protein, unknown function
PF3D7_0529100.1	thioredoxin-like protein, putative
PF3D7_0529200.1	sugar transporter, putative
PF3D7_0529300.1	apicoplast TIC22 protein
PF3D7_0529400.1	conserved Plasmodium protein, unknown function
PF3D7_0529400.2	conserved Plasmodium protein, unknown function
PF3D7_0529500.1	cell cycle regulator protein, putative
PF3D7_0529600.1	tRNA Arginine
PF3D7_0529700.1	heptatricopeptide repeat-containing protein, putative
PF3D7_0529800.1	conserved Plasmodium protein, unknown function
PF3D7_0529900.1	RING zinc finger protein, putative
PF3D7_0530000.1	conserved Plasmodium protein, unknown function
PF3D7_0530100.1	SNARE protein, putative
PF3D7_0530200.1	phosphoenolpyruvate/phosphate translocator
PF3D7_0530300.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0530400.1	conserved Plasmodium protein, unknown function
PF3D7_0530500.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0530600.1	XAP-5 DNA binding protein, putative
PF3D7_0530700.1	conserved Plasmodium protein, unknown function
PF3D7_0530750.1	dolichol-phosphate mannosyltransferase subunit 3, putative
PF3D7_0530800.1	CPW-WPC family protein
PF3D7_0530900.1	formin 1
PF3D7_0531000.1	SURF1 domain-containing protein, putative
PF3D7_0531100.1	conserved Plasmodium protein, unknown function
PF3D7_0531200.1	ribosomal protein S16, mitochondrial, putative
PF3D7_0531300.1	conserved Plasmodium protein, unknown function
PF3D7_0531400.1	conserved Plasmodium protein, unknown function
PF3D7_0531500.1	non-coding RNA
PF3D7_0531600.1	18S ribosomal RNA
PF3D7_0531700.1	unspecified product
PF3D7_0531800.1	5.8S ribosomal RNA
PF3D7_0531900.1	unspecified product
PF3D7_0532000.1	28S ribosomal RNA
PF3D7_0532100.1	early transcribed membrane protein 5
PF3D7_0532200.1	Plasmodium exported protein (PHISTc), unknown function
PF3D7_0532300.1	Plasmodium exported protein (PHISTb), unknown function
PF3D7_0532400.1	lysine-rich membrane-associated PHISTb protein
PF3D7_0532500.1	Plasmodium exported protein, unknown function
PF3D7_0532600.1	Plasmodium exported protein, unknown function
PF3D7_0532700.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0532800.1	stevor, pseudogene
PF3D7_0532900.1	rifin
PF3D7_0533000.1	rifin, pseudogene
PF3D7_0533100.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0600100.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0600200.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0600300.1	rifin
PF3D7_0600400.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0600500.1	rifin
PF3D7_0600600.1	erythrocyte membrane protein 1 (PfEMP1), exon 2
PF3D7_0600700.1	rifin
PF3D7_0600800.1	rifin, pseudogene
PF3D7_0600900.1	rifin, pseudogene
PF3D7_0601000.1	exported protein family 4
PF3D7_0601100.1	exported protein family 3
PF3D7_0601200.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0601300.1	exported protein family 1
PF3D7_0601400.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0601500.1	Plasmodium exported protein (PHISTb), unknown function
PF3D7_0601600.1	tetratricopeptide repeat protein, putative
PF3D7_0601700.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene
PF3D7_0601800.1	H/ACA snoRNA
PF3D7_0601900.1	conserved Plasmodium protein, unknown function
PF3D7_0602000.1	zinc finger protein, putative
PF3D7_0602100.1	ATP-dependent RNA helicase MTR4
PF3D7_0602200.1	MYND-type zinc finger protein, putative
PF3D7_0602300.1	liver merozoite formation protein, putative
PF3D7_0602400.1	elongation factor G
PF3D7_0602500.1	geranylgeranyl transferase type-2 subunit beta, putative
PF3D7_0602600.1	SAC3 domain-containing protein, putative
PF3D7_0602700.1	conserved Plasmodium protein, unknown function
PF3D7_0602800.1	JmjC domain-containing protein, putative
PF3D7_0602900.1	conserved Plasmodium protein, unknown function
PF3D7_0603000.1	SDE2 domain-containing protein, putative
PF3D7_0603100.1	RNA-binding protein, putative
PF3D7_0603200.1	mitochondrial chaperone BCS1, putative
PF3D7_0603300.1	dihydroorotate dehydrogenase
PF3D7_0603400.1	trophozoite exported protein 1
PF3D7_0603500.1	cation/H+ antiporter
PF3D7_0603600.1	AT-rich interactive domain-containing protein, putative
PF3D7_0603700.1	phenylalanine--tRNA ligase
PF3D7_0603800.1	centrosomal protein CEP76, putative
PF3D7_0603900.1	conserved Plasmodium protein, unknown function
PF3D7_0604000.1	conserved Plasmodium protein, unknown function
PF3D7_0604100.1	AP2 domain transcription factor
PF3D7_0604200.1	ribosomal protein L41, mitochondrial, putative
PF3D7_0604300.1	conserved Plasmodium protein, unknown function
PF3D7_0604400.1	conserved protein, unknown function
PF3D7_0604500.1	GYF domain-containing protein, putative
PF3D7_0604600.1	DNA helicase, putative
PF3D7_0604700.1	glyoxalase I-like protein GILP
PF3D7_0604800.1	RAP protein, putative
PF3D7_0604900.1	conserved Plasmodium protein, unknown function
PF3D7_0605000.1	50S ribosomal protein L24, putative
PF3D7_0605100.1	RNA-binding protein, putative
PF3D7_0605200.1	acylphosphatase, putative
PF3D7_0605300.1	serine/threonine protein kinase ARK1
PF3D7_0605400.1	calcium-binding protein, putative
PF3D7_0605500.1	cyclin dependent kinase binding protein, putative
PF3D7_0605600.1	nucleoside diphosphate kinase, putative
PF3D7_0605700.1	conserved Plasmodium protein, unknown function
PF3D7_0605800.1	DNA repair protein RAD50, putative
PF3D7_0605900.1	elongation of fatty acids protein, putative
PF3D7_0606000.1	protein KIC1
PF3D7_0606100.1	RNA-binding protein, putative
PF3D7_0606200.1	ubiquitin-conjugating enzyme E2 PEX4, putative
PF3D7_0606300.1	conserved Plasmodium protein, unknown function
PF3D7_0606400.1	conserved Plasmodium protein, unknown function
PF3D7_0606500.1	polypyrimidine tract-binding protein, putative
PF3D7_0606600.1	conserved Plasmodium protein, unknown function
PF3D7_0606700.1	coatomer alpha subunit, putative
PF3D7_0606800.1	VFT protein
PF3D7_0606900.1	glutaredoxin-like protein
PF3D7_0607000.1	translation initiation factor IF-2, putative
PF3D7_0607100.1	MYND-type zinc finger protein, putative
PF3D7_0607200.1	RING zinc finger protein, putative
PF3D7_0607300.1	uroporphyrinogen III decarboxylase
PF3D7_0607400.1	G-protein associated signal transduction protein, putative
PF3D7_0607500.1	4-hydroxybenzoate polyprenyltransferase, putative
PF3D7_0607600.1	spindle assembly abnormal protein 6, putative
PF3D7_0607700.1	conserved Plasmodium protein, unknown function
PF3D7_0607800.1	GTP-binding protein, putative
PF3D7_0607900.1	conserved Plasmodium protein, unknown function
PF3D7_0608000.1	diphthine methyltransferase, putative
PF3D7_0608100.1	conserved Plasmodium protein, unknown function
PF3D7_0608200.1	conserved Plasmodium protein, unknown function
PF3D7_0608300.1	heptatricopeptide repeat-containing protein, putative
PF3D7_0608310.1	sorting assembly machinery 50 kDa subunit, putative
PF3D7_0608400.1	conserved Plasmodium protein, unknown function
PF3D7_0608500.1	proteasome subunit alpha type-2, putative
PF3D7_0608600.1	conserved Plasmodium protein, unknown function
PF3D7_0608700.1	T-complex protein 1 subunit zeta
PF3D7_0608800.1	ornithine aminotransferase
PF3D7_0608900.1	conserved Plasmodium protein, unknown function
PF3D7_0609000.1	nucleoporin NUP637, putative
PF3D7_0609100.1	zinc transporter ZIP1, putative
PF3D7_0609200.1	citrate synthase-like protein, putative
PF3D7_0609300.1	conserved Plasmodium protein, unknown function
PF3D7_0609400.1	mitochondrial cardiolipin synthase, putative
PF3D7_0609500.1	conserved Plasmodium protein, unknown function
PF3D7_0609600.1	conserved Plasmodium protein, unknown function
PF3D7_0609700.1	protein KIC6
PF3D7_0609800.1	palmitoyltransferase DHHC2, putative
PF3D7_0609900.1	conserved Plasmodium protein, unknown function
PF3D7_0610000.1	ribosomal protein L19, mitochondrial, putative
PF3D7_0610100.1	pre-mRNA-splicing factor SLU7, putative
PF3D7_0610200.1	RNA-binding protein 25, putative
PF3D7_0610300.1	non-coding RNA
PF3D7_0610400.1	histone H3
PF3D7_0610500.1	peptidyl-tRNA hydrolase PTRHD1, putative
PF3D7_0610600.1	calcium-dependent protein kinase 2
PF3D7_0610700.1	conserved Plasmodium protein, unknown function
PF3D7_0610800.1	transketolase
PF3D7_0610900.1	transcription elongation factor SPT5, putative
PF3D7_0611000.1	SNARE associated Golgi protein, putative
PF3D7_0611100.1	succinate dehydrogenase subunit 3, putative
PF3D7_0611200.1	AP2 domain transcription factor, putative
PF3D7_0611300.1	ATP synthase-associated protein, putative
PF3D7_0611400.1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin
PF3D7_0611500.1	conserved protein, unknown function
PF3D7_0611600.1	basal complex transmembrane protein 1
PF3D7_0611700.1	60S ribosomal protein L39
PF3D7_0611800.1	conserved Plasmodium protein, unknown function
PF3D7_0611900.1	lsm12, putative
PF3D7_0612000.1	conserved Plasmodium protein, unknown function
PF3D7_0612100.1	eukaryotic translation initiation factor 3 subunit L, putative
PF3D7_0612200.1	leucine-rich repeat protein
PF3D7_0612300.1	transmembrane protein 234, putative
PF3D7_0612400.1	conserved Plasmodium protein, unknown function
PF3D7_0612500.1	conserved Plasmodium protein, unknown function
PF3D7_0612600.1	cytoplasmic tRNA 2-thiolation protein 1, putative
PF3D7_0612700.1	6-cysteine protein P12
PF3D7_0612800.1	6-cysteine protein
PF3D7_0612900.1	nucleolar GTP-binding protein 1, putative
PF3D7_0613000.1	conserved Plasmodium protein, unknown function
PF3D7_0613000.2	conserved Plasmodium protein, unknown function
PF3D7_0613000.3	conserved Plasmodium protein, unknown function
PF3D7_0613100.1	conserved Plasmodium protein, unknown function
PF3D7_0613200.1	conserved Plasmodium protein, unknown function
PF3D7_0613300.1	rhoptry protein ROP14
PF3D7_0613400.1	50S ribosomal protein L18, apicoplast, putative
PF3D7_0613500.1	AP-3 complex subunit beta, putative
PF3D7_0613600.1	conserved Plasmodium protein, unknown function
PF3D7_0613700.1	syntaxin-binding protein, putative
PF3D7_0613800.1	AP2 domain transcription factor, putative
PF3D7_0613900.1	myosin E, putative
PF3D7_0614000.1	thiamine-phosphate synthase, putative
PF3D7_0614100.1	filamin domain-containing protein, putative
PF3D7_0614200.1	cytosolic Fe-S cluster assembly factor NAR1, putative
PF3D7_0614300.1	major facilitator superfamily-related transporter, putative
PF3D7_0614400.1	pre-mRNA-splicing factor CWF7, putative
PF3D7_0614500.1	60S ribosomal protein L19
PF3D7_0614600.1	conserved Plasmodium protein, unknown function
PF3D7_0614700.1	F-box protein FBXO6, putative
PF3D7_0614800.1	endonuclease III-like protein 1, putative
PF3D7_0614900.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0615000.1	conserved Plasmodium protein, unknown function
PF3D7_0615100.1	enoyl-acyl carrier reductase
PF3D7_0615200.1	conserved protein, unknown function
PF3D7_0615300.1	GPI-anchored wall transfer protein 1, putative
PF3D7_0615400.1	ribonuclease, putative
PF3D7_0615500.1	cdc2-related protein kinase 5
PF3D7_0615600.1	zinc finger protein, putative
PF3D7_0615700.1	THO complex subunit 4, putative
PF3D7_0615800.1	conserved oligomeric Golgi complex subunit 4, putative
PF3D7_0615900.1	protein phosphatase, putative
PF3D7_0616000.1	pyridoxal kinase
PF3D7_0616100.1	conserved Plasmodium protein, unknown function
PF3D7_0616200.1	kinetochore protein NDC80, putative
PF3D7_0616300.1	conserved Plasmodium protein, unknown function
PF3D7_0616400.1	conserved Plasmodium protein, unknown function
PF3D7_0616500.1	TRAP-like protein
PF3D7_0616600.1	conserved protein, unknown function
PF3D7_0616700.1	ras GTPAse, putative
PF3D7_0616800.1	malate:quinone oxidoreductase
PF3D7_0616900.1	conserved Plasmodium protein, unknown function
PF3D7_0617000.1	mitochondrial import receptor subunit TOM40, putative
PF3D7_0617100.1	AP-2 complex subunit alpha, putative
PF3D7_0617200.1	BFR1 domain-containing protein, putative
PF3D7_0617300.1	conserved Plasmodium protein, unknown function
PF3D7_0617400.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0617500.1	rifin, pseudogene
PF3D7_0617600.1	stevor
PF3D7_0617700.1	rifin
PF3D7_0617800.1	histone H2A
PF3D7_0617900.1	histone H3 variant
PF3D7_0618000.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0618100.1	conserved Plasmodium protein, unknown function
PF3D7_0618200.1	conserved protein, unknown function
PF3D7_0618300.1	60S ribosomal protein L27a, putative
PF3D7_0618400.1	LMBR1 domain-containing protein, putative
PF3D7_0618500.1	malate dehydrogenase
PF3D7_0618600.1	rhomboid protease ROM10
PF3D7_0618700.1	trafficking protein particle complex subunit 6A, putative
PF3D7_0618800.1	heptatricopeptide repeat-containing protein, putative
PF3D7_0618900.1	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1
PF3D7_0618900.2	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1
PF3D7_0619000.1	conserved protein, unknown function
PF3D7_0619000.2	conserved protein, unknown function
PF3D7_0619100.1	conserved Plasmodium protein, unknown function
PF3D7_0619200.1	conserved Plasmodium protein, unknown function
PF3D7_0619300.1	conserved Plasmodium protein, unknown function
PF3D7_0619400.1	cell division cycle protein 48 homologue, putative
PF3D7_0619500.1	acyl-CoA synthetase
PF3D7_0619600.1	conserved Plasmodium protein, unknown function
PF3D7_0619700.1	F-box protein FBXO1, putative
PF3D7_0619800.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0619900.1	splicing factor 3A subunit 2, putative
PF3D7_0620000.1	PIMMS43 protein
PF3D7_0620100.1	ATP synthase-associated protein, putative
PF3D7_0620200.1	conserved Plasmodium protein, unknown function
PF3D7_0620300.1	conserved Plasmodium protein, unknown function
PF3D7_0620400.1	merozoite surface protein 10
PF3D7_0620500.1	cleavage stimulation factor subunit 1, putative
PF3D7_0620600.1	conserved Plasmodium protein, unknown function
PF3D7_0620700.1	DnaJ protein, putative
PF3D7_0620800.1	tRNA Alanine
PF3D7_0620900.1	tRNA Leucine
PF3D7_0621000.1	conserved Plasmodium protein, unknown function
PF3D7_0621100.1	conserved Plasmodium protein, unknown function
PF3D7_0621200.1	pyridoxine biosynthesis protein PDX1
PF3D7_0621300.1	mRNA-binding protein PUF3
PF3D7_0621350.1	protein SYS1, putative
PF3D7_0621400.1	Pf77 protein
PF3D7_0621500.1	ribonuclease P/MRP protein subunit RPP1, putative
PF3D7_0621600.1	tRNA Serine
PF3D7_0621700.1	conserved Plasmodium protein, unknown function
PF3D7_0621800.1	nascent polypeptide-associated complex subunit alpha, putative
PF3D7_0621900.1	signal recognition particle subunit SRP68, putative
PF3D7_0622000.1	conserved Plasmodium protein, unknown function
PF3D7_0622100.1	conserved Plasmodium protein, unknown function
PF3D7_0622200.1	radical SAM protein, putative
PF3D7_0622300.1	vacuolar transporter chaperone, putative
PF3D7_0622400.1	conserved protein, unknown function
PF3D7_0622500.1	RNA methyltransferase, putative
PF3D7_0622600.1	cytochrome b-c1 complex subunit 9, putative
PF3D7_0622700.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0622800.1	leucine--tRNA ligase, putative
PF3D7_0622900.1	AP2 domain transcription factor AP2Tel
PF3D7_0623000.1	chorismate synthase
PF3D7_0623100.1	nuclear polyadenylated RNA-binding protein NAB2, putative
PF3D7_0623200.1	ferredoxin--NADP reductase
PF3D7_0623300.1	EGF-like membrane protein, putative
PF3D7_0623400.1	MEI2-like RNA-binding protein, putative
PF3D7_0623500.1	superoxide dismutase [Fe]
PF3D7_0623600.1	splicing factor-like protein 1, putative
PF3D7_0623700.1	ATP-dependent RNA helicase SUV3, putative
PF3D7_0623800.1	tyrosine kinase-like protein, putative
PF3D7_0623900.1	ribonuclease H2 subunit A, putative
PF3D7_0624000.1	hexokinase
PF3D7_0624100.1	conserved protein, unknown function
PF3D7_0624200.1	SURP domain-containing protein, putative
PF3D7_0624300.1	CPW-WPC family protein
PF3D7_0624400.1	conserved protein, unknown function
PF3D7_0624500.1	anaphase-promoting complex subunit 11, putative
PF3D7_0624600.1	SNF2 helicase, putative
PF3D7_0624700.1	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase, putative
PF3D7_0624800.1	conserved Plasmodium protein, unknown function
PF3D7_0624900.1	GAS8-like protein, putative
PF3D7_0625000.1	sphingomyelin synthase 1, putative
PF3D7_0625000.2	sphingomyelin synthase 1, putative
PF3D7_0625100.1	sphingomyelin synthase 2, putative
PF3D7_0625200.1	conserved Plasmodium protein, unknown function
PF3D7_0625300.1	DNA polymerase 1, putative
PF3D7_0625400.1	conserved Plasmodium protein, unknown function
PF3D7_0625500.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0625600.1	poly(A) polymerase PAP, putative
PF3D7_0625700.1	conserved protein, unknown function
PF3D7_0625800.1	conserved Plasmodium protein, unknown function
PF3D7_0625900.1	conserved Plasmodium protein, unknown function
PF3D7_0626000.1	conserved Plasmodium protein, unknown function
PF3D7_0626100.1	oxidoreductase, short-chain dehydrogenase family, putative
PF3D7_0626200.1	conserved Plasmodium protein, unknown function
PF3D7_0626300.1	3-oxoacyl-acyl-carrier protein synthase I/II
PF3D7_0626400.1	CRAL/TRIO domain-containing protein, putative
PF3D7_0626500.1	conserved Plasmodium protein, unknown function
PF3D7_0626600.1	conserved Plasmodium protein, unknown function
PF3D7_0626700.1	ATPase
PF3D7_0626800.1	pyruvate kinase
PF3D7_0626840.1	small nucleolar RNA snoR35
PF3D7_0626900.1	ribosomal protein L46, mitochondrial, putative
PF3D7_0627000.1	conserved Plasmodium protein, unknown function
PF3D7_0627100.1	ankyrin-repeat protein, putative
PF3D7_0627200.1	myosin light chain, putative
PF3D7_0627300.1	E3 ubiquitin-protein ligase RNF5, putative
PF3D7_0627400.1	mitochondrial import inner membrane translocase subunit TIM22, putative
PF3D7_0627500.1	protein DJ-1
PF3D7_0627600.1	conserved Plasmodium protein, unknown function
PF3D7_0627700.1	transportin
PF3D7_0627800.1	acetyl-CoA synthetase, putative
PF3D7_0627900.1	ribonuclease P protein subunit p29, putative
PF3D7_0628000.1	6-pyruvoyltetrahydropterin synthase
PF3D7_0628100.1	HECT-domain (ubiquitin-transferase), putative
PF3D7_0628200.1	eukaryotic translation initiation factor 2-alpha kinase
PF3D7_0628300.1	choline/ethanolaminephosphotransferase, putative
PF3D7_0628400.1	protease, putative
PF3D7_0628500.1	conserved Plasmodium protein, unknown function
PF3D7_0628600.1	DNA methyltransferase 1-associated protein 1, putative
PF3D7_0628700.1	conserved Plasmodium protein, unknown function
PF3D7_0628800.1	glutamyl-tRNA(Gln) amidotransferase subunit B
PF3D7_0628900.1	RAP protein, putative
PF3D7_0629000.1	glucosamine 6-phosphate N-acetyltransferase
PF3D7_0629100.1	nicotinate phosphoribosyltransferase, putative
PF3D7_0629200.1	DnaJ protein, putative
PF3D7_0629300.1	phospholipase, putative
PF3D7_0629400.1	polyadenylate-binding protein 3, putative
PF3D7_0629500.1	amino acid transporter AAT1
PF3D7_0629600.1	RNA-binding protein, putative
PF3D7_0629700.1	SET domain protein, putative
PF3D7_0629800.1	cullin-like protein, putative
PF3D7_0629900.1	sec14-like cytosolic factor or phosphatidylinositol/phosphatidylcholine transfer protein, putative
PF3D7_0630000.1	CPW-WPC family protein
PF3D7_0630100.1	alpha/beta hydrolase, putative
PF3D7_0630200.1	secreted ookinete protein, putative
PF3D7_0630300.1	DNA polymerase epsilon catalytic subunit A, putative
PF3D7_0630400.1	conserved Plasmodium protein, unknown function
PF3D7_0630500.1	ribosome biogenesis protein YTM1, putative
PF3D7_0630600.1	conserved protein, unknown function
PF3D7_0630700.1	bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, putative
PF3D7_0630800.1	TPH domain-containing protein, putative
PF3D7_0630900.1	ATP-dependent RNA helicase HAS1
PF3D7_0631000.1	tetratricopeptide repeat protein, putative
PF3D7_0631100.1	Plasmodium exported protein (PHISTb), unknown function
PF3D7_0631200.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0631300.1	exported protein family 1
PF3D7_0631400.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0631500.1	exported protein family 3
PF3D7_0631600.1	exported protein family 4
PF3D7_0631700.1	rifin, pseudogene
PF3D7_0631800.1	rifin
PF3D7_0631900.1	stevor
PF3D7_0632000.1	rifin
PF3D7_0632100.1	rifin
PF3D7_0632200.1	rifin
PF3D7_0632300.1	rifin
PF3D7_0632400.1	rifin
PF3D7_0632500.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0632600.1	rifin, pseudogene
PF3D7_0632700.1	rifin
PF3D7_0632800.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0700100.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0700200.1	rifin
PF3D7_0700300.1	rifin
PF3D7_0700400.1	stevor
PF3D7_0700500.1	rifin
PF3D7_0700600.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0700700.1	stevor, pseudogene
PF3D7_0700800.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0700900.1	exported protein family 1, pseudogene
PF3D7_0701000.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0701100.1	rifin
PF3D7_0701200.1	rifin, pseudogene
PF3D7_0701300.1	rifin, pseudogene
PF3D7_0701400.1	exported protein family 4, pseudogene
PF3D7_0701500.1	exported protein family 3
PF3D7_0701600.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0701700.1	exported protein family 1
PF3D7_0701800.1	rifin
PF3D7_0701900.1	Plasmodium exported protein, unknown function
PF3D7_0702000.1	Plasmodium exported protein (hyp12), unknown function
PF3D7_0702100.1	Plasmodium exported protein (PHISTb), unknown function, pseudogene
PF3D7_0702200.1	lysophospholipase, putative
PF3D7_0702300.1	sporozoite threonine and asparagine-rich protein
PF3D7_0702400.1	small exported membrane protein 1
PF3D7_0702500.1	Plasmodium exported protein, unknown function
PF3D7_0702600.1	chitinase, fragment
PF3D7_0702700.1	tRNA Alanine
PF3D7_0702800.1	tRNA Tyrosine
PF3D7_0702900.1	centrin, putative
PF3D7_0703000.1	conserved Plasmodium protein, unknown function
PF3D7_0703100.1	cytosolic iron-sulfur assembly component 2, putative
PF3D7_0703200.1	conserved Plasmodium protein, unknown function
PF3D7_0703300.1	conserved Plasmodium protein, unknown function
PF3D7_0703400.1	conserved Plasmodium protein, unknown function
PF3D7_0703500.1	erythrocyte membrane-associated antigen
PF3D7_0703600.1	conserved protein, unknown function
PF3D7_0703700.1	conserved protein, unknown function
PF3D7_0703800.1	conserved Plasmodium protein, unknown function
PF3D7_0703900.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0704000.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0704100.1	basal complex transmembrane protein 2
PF3D7_0704200.1	tRNA m5C-methyltransferase, putative
PF3D7_0704300.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0704400.1	phosphoinositide-binding protein, putative
PF3D7_0704500.1	serine/threonine protein kinase, putative
PF3D7_0704600.1	HECT-type E3 ubiquitin ligase UT
PF3D7_0704700.1	phosphopantetheine adenylyltransferase, putative
PF3D7_0704800.1	protein phosphatase PPM12, putative
PF3D7_0704900.1	peptide chain release factor 2
PF3D7_0705000.1	mRNA cap guanine-N7 methyltransferase, putative
PF3D7_0705100.1	conserved Plasmodium protein, unknown function
PF3D7_0705200.1	conserved Plasmodium protein, unknown function
PF3D7_0705300.1	origin recognition complex subunit 2
PF3D7_0705400.1	DNA replication licensing factor MCM7
PF3D7_0705500.1	inositol-phosphate phosphatase, putative
PF3D7_0705600.1	RNA helicase, putative
PF3D7_0705700.1	40S ribosomal protein S29, putative
PF3D7_0705800.1	cysteine-rich secretory protein, putative
PF3D7_0705900.1	ATP synthase subunit C, putative
PF3D7_0706000.1	importin-7, putative
PF3D7_0706100.1	conserved Plasmodium protein, unknown function
PF3D7_0706200.1	conserved protein, unknown function
PF3D7_0706300.1	conserved Plasmodium protein, unknown function
PF3D7_0706400.1	60S ribosomal protein L37
PF3D7_0706500.1	conserved Plasmodium protein, unknown function
PF3D7_0706600.1	conserved Plasmodium protein, unknown function
PF3D7_0706700.1	DNA mismatch repair protein MSH2, putative
PF3D7_0706800.1	tRNA Threonine
PF3D7_0706900.1	tRNA Histidine
PF3D7_0707000.1	tRNA Lysine
PF3D7_0707100.1	tRNA Lysine
